CODIGO_LOJA;SKU;QTDE_TOTAL
10067;A0164801510002;30
10122;A0164801510002;30
10225;A0164801510002;30
10397;A0164801510002;30
12792;A0164801510002;30
14148;A0164801510002;30
141682;A0164801510002;30
151742;A0164801510002;30
165122;A0164801510002;30
165142;A0164801510002;30
165163;A0164801510002;30
165182;A0164801510002;30
165183;A0164801510002;30
165184;A0164801510002;30
165282;A0164801510002;30
16763;A0164801510002;30
16875;A0164801510002;30
169542;A0164801510002;30
170422;A0164801510002;30
17270;A0164801510002;30
17511;A0164801510002;30
176703;A0164801510002;30
18440;A0164801510002;30
188083;A0164801510002;30
190383;A0164801510002;30
190403;A0164801510002;30
19193;A0164801510002;30
20917;A0164801510002;30
29637;A0164801510002;30
29638;A0164801510002;30
300094;A0164801510002;30
300186;A0164801510002;30
300935;A0164801510002;30
300936;A0164801510002;30
301023;A0164801510002;30
301180;A0164801510002;30
301181;A0164801510002;30
301182;A0164801510002;30
301763;A0164801510002;30
43637;A0164801510002;30
46677;A0164801510002;30
47137;A0164801510002;30
47157;A0164801510002;30
47177;A0164801510002;30
53518;A0164801510002;30
54658;A0164801510002;30
54981;A0164801510002;30
59458;A0164801510002;30
60318;A0164801510002;30
61498;A0164801510002;30
61499;A0164801510002;30
66299;A0164801510002;30
78798;A0164801510002;30
ELDORADO;A0164801510002;30
10067;A0164801510003;30
10122;A0164801510003;30
10225;A0164801510003;30
10397;A0164801510003;30
12792;A0164801510003;30
14148;A0164801510003;30
141682;A0164801510003;30
151742;A0164801510003;30
165122;A0164801510003;30
165142;A0164801510003;30
165163;A0164801510003;30
165182;A0164801510003;30
165183;A0164801510003;30
165184;A0164801510003;30
165282;A0164801510003;30
16763;A0164801510003;30
16875;A0164801510003;30
169542;A0164801510003;30
170422;A0164801510003;30
17270;A0164801510003;30
17511;A0164801510003;30
176703;A0164801510003;30
18440;A0164801510003;30
188083;A0164801510003;30
190383;A0164801510003;30
190403;A0164801510003;30
19193;A0164801510003;30
20917;A0164801510003;30
29637;A0164801510003;30
29638;A0164801510003;30
300094;A0164801510003;30
300186;A0164801510003;30
300935;A0164801510003;30
